,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,fare_zscore,Family Size,Age Group,Normalized_Fare,Standardized_Fare,Normalized_Age,Standardized_Age,IsAlone
0,1,0,3,male,22.0,1,0,7.25,S,-0.5024451714361923,2,Adult,0.02012692239307397,-0.7014281784589221,0.2711736617240513,-0.5654188991856514,0
1,2,1,1,female,38.0,1,0,71.2833,C,0.7868452935884461,2,Adult,0.4182097825235523,1.4235504262627412,0.4722292033174164,0.663488390424261,0
2,3,1,3,female,26.0,0,0,7.925,S,-0.4888542575852486,1,Adult,0.02432326914684229,-0.6790279498561932,0.32143754712239253,-0.25819207678317324,1
3,4,1,1,female,35.0,1,0,53.1,S,0.4207302360686478,2,Adult,0.30516766114904054,0.8201280903338508,0.43453128926866047,0.4330682736224024,0
4,5,0,3,male,35.0,0,0,8.05,S,-0.4863374216869257,1,Adult,0.025100370397540133,-0.6748797593742063,0.43453128926866047,0.4330682736224024,1
5,6,0,3,male,28.0,0,0,8.4583,Q,-0.47811642890864375,1,Adult,0.02763869392281954,-0.6613301099838446,0.3465694898215632,-0.10457866558193422,1
6,7,0,1,male,54.0,0,0,51.8625,S,0.395813560675251,1,Adult,0.2974743587671319,0.779061004562181,0.6732847449107816,1.8923956800341732,1
7,8,0,3,male,2.0,3,1,21.075,S,-0.22408312108167944,5,Child,0.10607432072025473,-0.24263831115117765,0.01985423473234481,-2.1015530111980416,0
8,9,1,3,female,27.0,0,2,11.1333,S,-0.4242561406845337,3,Adult,0.04426866068775325,-0.5725588336693263,0.33400351847197784,-0.18138537118255374,0
9,10,1,2,female,14.0,1,0,30.0708,C,-0.04295550208861426,2,Child,0.16199950016847553,0.05589202435168005,0.17064589092736868,-1.1798725439906075,0
10,11,1,3,female,4.0,1,1,16.7,S,-0.312172377522981,3,Child,0.07887577694583044,-0.3878249780207171,0.04498617743151546,-1.9479395999968028,0
11,12,1,1,female,58.0,0,0,26.55,S,-0.11384570873513637,1,Adult,0.14011135550082,-0.060947568040154006,0.7235486303091229,2.1996225024366516,1
12,13,0,3,male,20.0,0,0,8.05,S,-0.4863374216869257,1,Child,0.025100370397540133,-0.6748797593742063,0.24604171902488062,-0.7190323103868904,1
13,14,0,3,male,39.0,1,5,31.275,S,-0.01870931177853076,7,Adult,0.1694857827771982,0.09585403217894847,0.4847951746670017,0.7402950960248805,0
14,15,0,3,female,14.0,0,0,7.8542,S,-0.4902797934380587,1,Child,0.023883118998447035,-0.6813774849451906,0.17064589092736868,-1.1798725439906075,1
15,16,1,2,female,55.0,0,0,16.0,S,-0.3262666585535892,1,Adult,0.07452400994192256,-0.4110548447198433,0.6858507162603669,1.9692023856347929,1
16,17,0,3,male,2.0,4,1,29.125,Q,-0.06199888922968463,6,Child,0.15611964126519542,0.024505155888774877,0.01985423473234481,-2.1015530111980416,0
17,18,1,2,male,28.0,0,0,13.0,S,-0.3866707201133388,1,Adult,0.05587357992517447,-0.5106114162875275,0.3465694898215632,-0.10457866558193422,1
18,19,0,3,female,31.0,1,0,18.0,S,-0.2859972841804228,2,Adult,0.08695762995308795,-0.3446837970080539,0.38426740387031916,0.12584145121992435,0
19,20,1,3,female,28.0,0,0,7.225,C,-0.5029485386158568,1,Adult,0.019971502142934403,-0.7022578165553195,0.3465694898215632,-0.10457866558193422,1
20,21,0,2,male,35.0,0,0,26.0,S,-0.12491978668775715,1,Adult,0.1366921099977495,-0.07919960616089612,0.43453128926866047,0.4330682736224024,1
21,22,1,2,male,34.0,0,0,13.0,S,-0.3866707201133388,1,Adult,0.05587357992517447,-0.5106114162875275,0.42196531791907516,0.3562615680217829,1
22,23,1,3,female,15.0,0,0,8.0292,Q,-0.4867562231804066,1,Child,0.024971060749424005,-0.675570018270409,0.18321186227695402,-1.103065838389988,1
23,24,1,1,male,28.0,0,0,35.5,S,0.06635974158478332,1,Adult,0.1957518050507851,0.23606287047010371,0.3465694898215632,-0.10457866558193422,1
24,25,0,3,female,8.0,3,1,21.075,S,-0.22408312108167944,5,Child,0.10607432072025473,-0.24263831115117765,0.09525006282985675,-1.6407127775943247,0
25,26,1,3,female,38.0,1,5,31.3875,S,-0.016444159470040135,7,Adult,0.17018517390282625,0.09958740361273666,0.4722292033174164,0.663488390424261,0
26,27,0,3,male,28.0,0,0,7.225,C,-0.5029485386158568,1,Adult,0.019971502142934403,-0.7022578165553195,0.3465694898215632,-0.10457866558193422,1
27,28,0,1,male,19.0,3,2,84.99060735817172,S,4.647001076532463,6,Child,0.5034255080574316,1.87843460159743,0.23347574767529528,-0.79583901598751,0
28,29,1,3,female,28.0,0,0,7.8792,Q,-0.48977642625839407,1,Adult,0.024038539248586604,-0.6805478468487932,0.3465694898215632,-0.10457866558193422,1
29,30,0,3,male,28.0,0,0,7.8958,S,-0.4894421904510968,1,Adult,0.02414173829467928,-0.6799969671527853,0.3465694898215632,-0.10457866558193422,1
30,31,0,1,male,40.0,0,0,27.7208,C,-0.09027201697708476,1,Adult,0.1473899966553562,-0.02209395670967247,0.4973611460165871,0.8171018016255001,1
31,32,1,1,female,28.0,1,0,146.5208,C,2.301728820789,2,Adult,0.8859470253185805,3.9203462773706206,0.3465694898215632,-0.10457866558193422,0
32,33,1,3,female,28.0,0,0,7.75,Q,-0.49237782784290063,1,Adult,0.02323532739586532,-0.6848354165309748,0.3465694898215632,-0.10457866558193422,1
33,34,0,2,male,66.0,0,0,10.5,S,-0.43700743807979686,1,Senior,0.04033155491121773,-0.5935752259272643,0.8240764011058055,2.8140761472416074,1
34,35,0,1,male,28.0,1,0,82.1708,C,1.0060617003323709,2,Adult,0.4858953014593339,1.784857817243795,0.3465694898215632,-0.10457866558193422,0
35,36,0,1,male,42.0,1,0,52.0,S,0.39858208016340624,2,Adult,0.29832917014289956,0.7836240140923666,0.5224930887157577,0.970715212826739,0
36,37,1,3,male,28.0,0,0,7.2292,C,-0.5028639729296732,1,Adult,0.01999761274495785,-0.7021184373551248,0.3465694898215632,-0.10457866558193422,1
37,38,0,3,male,21.0,0,0,8.05,S,-0.4863374216869257,1,Adult,0.025100370397540133,-0.6748797593742063,0.2586076903744659,-0.6422256047862709,1
